data,produto,municipio,tipo,peso,preco
13/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
14/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
17/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
18/08/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 172,50"
19/08/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 172,50"
20/08/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 172,50"
21/08/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 172,50"
04/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 40,00"
05/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 40,00"
06/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 40,00"
07/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 40,00"
10/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
11/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
12/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
13/08/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
14/08/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
17/08/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
18/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
19/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
20/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
21/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
24/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
24/08/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 172,50"
25/08/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 172,50"
26/08/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
27/08/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
28/08/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
31/08/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
01/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
02/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
03/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
04/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
08/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
09/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
10/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
11/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
14/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
25/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
26/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
27/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
28/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
31/08/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
